epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6928.75,1.23241,1.51579,1.25541,0.58446,0.42518,0.45763,0.31496,1.20521,1.38375,1.2039,0.00333311,0.00333311,0.070002
2,23827.1,1.35332,1.86159,1.3414,0.56704,0.40487,0.43167,0.29753,1.2191,1.44383,1.22386,0.00653445,0.00653445,0.03987
3,30612.3,1.43611,2.09653,1.40716,0.5507,0.37625,0.40103,0.27432,1.24096,1.55852,1.25554,0.00960378,0.00960378,0.00960604
4,37348.5,1.442,2.11249,1.41709,0.56896,0.34493,0.38386,0.26361,1.25578,1.70326,1.27113,0.009406,0.009406,0.009406
